日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2019/01/21,自營商,327197,40660,316687,41112,10510,-452,263229,31333,261643,38727,1586,-7394
2019/01/21,投信,234,462,844,1271,-610,-809,5103,5155,32790,54096,-27687,-48941
2019/01/21,外資及陸資,229732,152145,224702,150904,5030,1241,266427,152836,158727,40736,107700,112100
2019/01/22,自營商,240477,30452,264155,27957,-23678,2495,266169,32737,288136,37603,-21967,-4866
2019/01/22,投信,2086,54,1929,853,157,-799,5099,5115,32629,54704,-27530,-49589
2019/01/22,外資及陸資,168147,98133,170292,97403,-2145,730,269559,151727,164022,39211,105537,112516
2019/01/23,自營商,325336,33737,344451,33187,-19115,550,221616,32381,249584,36668,-27968,-4287
2019/01/23,投信,324,246,910,1439,-586,-1193,5124,5144,33240,55792,-28116,-50648
2019/01/23,外資及陸資,213740,126401,220890,140145,-7150,-13744,255744,140309,158856,41799,96888,98510
2019/01/24,自營商,210559,33696,208501,31285,2058,2411,239510,34327,265788,36226,-26278,-1899
2019/01/24,投信,29,57,35,69,-6,-12,5105,5128,33227,55999,-28122,-50871
2019/01/24,外資及陸資,182987,133794,176642,125461,6345,8333,267466,146492,164236,39232,103230,107260
2019/01/25,自營商,331553,39513,298395,45287,33158,-5774,280486,33916,273920,41580,6566,-7664
2019/01/25,投信,33,66,56,112,-23,-46,5052,5081,33197,56558,-28145,-51477
2019/01/25,外資及陸資,233661,158497,204667,135677,28994,22820,304343,167845,172125,36508,132218,131337
2019/01/28,自營商,234588,26814,244152,26105,-9564,709,288873,35299,292056,42278,-3183,-6979
2019/01/28,投信,1504,11,1913,134,-409,-123,5027,5038,33581,56731,-28554,-51693
