日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2018/1/25",投信,351,718,2715,3371,-2364,-2653,8182,5876,45269,85901,-37087,-80026
"2018/1/25",外資及陸資,320919,223146,346090,210215,-25171,12931,262916,180647,374418,71940,-111502,108707
"2018/1/26",自營商,393932,65700,409581,69352,-15649,-3652,407948,34044,457086,48533,-49138,-14489
"2018/1/26",投信,280,591,1761,2794,-1481,-2203,8281,6141,46849,88330,-38568,-82189
"2018/1/26",外資及陸資,282219,182375,288020,181992,-5801,383,264556,179934,380972,70865,-116416,109069
"2018/1/29",自營商,374130,54630,380866,48013,-6736,6617,445030,40957,501218,48959,-56188,-8001
"2018/1/29",投信,102,228,1220,254,-1118,-26,8062,6000,47748,88537,-39686,-82537
"2018/1/29",外資及陸資,215537,135426,220279,141200,-4742,-5774,268672,175890,389830,71968,-121158,103922
"2018/1/30",自營商,506930,63836,510809,72209,-3879,-8373,469430,35921,530084,52062,-60654,-16141
"2018/1/30",投信,0,0,1627,1503,-1627,-1503,7969,5723,49282,88789,-41313,-83066
"2018/1/30",外資及陸資,278067,182388,276762,172102,1305,10286,278536,178950,398391,66304,-119855,112646
"2018/1/31",自營商,704670,86616,675446,88926,29224,-2310,375662,31520,416146,50081,-40484,-18560
"2018/1/31",投信,591,686,688,412,-97,274,8017,5765,48587,88794,-40570,-83030
"2018/1/31",外資及陸資,338753,189109,347202,185390,-8449,3719,283459,188172,402997,71339,-119538,116833
"2018/2/1",自營商,325047,52010,318928,48998,6119,3012,417601,35788,451937,51445,-34336,-15657
"2018/2/1",投信,697,1405,586,384,111,1021,8045,5877,48504,88366,-40459,-82489
"2018/2/1",外資及陸資,201476,151156,235655,156099,-34179,-4943,289372,188799,443098,76076,-153726,112723
"2018/2/2",自營商,403901,73764,408893,71564,-4992,2200,457085,39476,496450,52924,-39365,-13447
"2018/2/2",投信,228,507,481,1068,-253,-561,7936,5617,48648,88327,-40712,-82711
"2018/2/2",外資及陸資,269293,186918,286483,196213,-17190,-9295,285987,182197,456891,79316,-170904,102881
"2018/2/5",自營商,634883,95542,649956,95801,-15073,-259,471199,39348,525689,52828,-54490,-13480
"2018/2/5",投信,1000,378,425,928,575,-550,7941,5544,48078,87410,-40137,-81866
"2018/2/5",外資及陸資,331304,193174,337279,204358,-5975,-11184,298246,171653,475068,82136,-176822,89517
"2018/2/6",自營商,1094590,236031,1026375,248475,68215,-12444,611204,49760,597415,75299,13789,-25539
"2018/2/6",投信,2512,1556,3269,6738,-757,-5182,7840,5100,48734,88214,-40894,-83114
"2018/2/6",外資及陸資,646229,497831,540384,488896,105845,8935,395654,164779,466631,74757,-70977,90022
"2018/2/7",自營商,771071,135461,811684,132313,-40613,3148,449422,41101,442207,64601,7215,-23500
"2018/2/7",投信,8528,11585,6717,7957,1811,3628,7926,5323,47009,85783,-39083,-80460
"2018/2/7",外資及陸資,630763,370221,616250,358785,14513,11436,371688,168950,424918,65254,-53230,103696
"2018/2/8",自營商,265370,66210,270194,66010,-4824,200,474014,42699,471966,65979,2048,-23280
"2018/2/8",投信,6984,13374,7047,13416,-63,-42,7890,5312,47035,85813,-39145,-80501
"2018/2/8",外資及陸資,292369,252815,298287,256929,-5918,-4114,386420,168172,445571,68557,-59151,99615
"2018/2/9",自營商,410572,125381,425317,120650,-14745,4731,487356,48907,501814,66652,-14458,-17745
"2018/2/9",投信,21094,39457,21057,40555,37,-1098,8064,5459,47172,85764,-39108,-80305
"2018/2/9",外資及陸資,436801,363982,444509,371097,-7708,-7115,394935,165361,461714,75017,-66779,90345
"2018/2/12",自營商,398557,77566,379163,74738,19394,2828,538288,47539,533437,62684,4851,-15145
"2018/2/12",投信,18839,28160,16082,25948,2757,2212,8110,5580,44461,84075,-36351,-78495
"2018/2/12",外資及陸資,358579,316031,373197,316536,-14618,-505,413802,170957,495199,80421,-81397,90535
"2018/2/21",自營商,556434,88926,519912,81612,36522,7314,280427,30107,277546,44463,2881,-14356
"2018/2/21",投信,4236,7116,4325,1091,-89,6025,5753,5612,42584,81160,-36831,-75548
"2018/2/21",外資及陸資,302078,244691,284774,231850,17304,12841,297088,160796,281575,56545,15513,104251
"2018/2/22",自營商,199538,34125,210323,34195,-10785,-70,305358,30179,313416,44530,-8058,-14350
"2018/2/22",投信,179,380,555,1179,-376,-799,5289,4595,42496,80490,-37207,-75895
"2018/2/22",外資及陸資,185813,145805,198242,159374,-12429,-13569,298450,151678,295333,61626,3117,90052
"2018/2/23",自營商,332969,41294,316624,41361,16345,-67,340824,33353,332479,48078,8345,-14725
"2018/2/23",投信,1565,3293,256,190,1309,3103,5319,4726,41217,78655,-35898,-73928
"2018/2/23",外資及陸資,210171,156008,199205,143097,10966,12911,313453,162142,299383,57591,14070,104551
"2018/2/26",自營商,301945,34033,317835,32619,-15890,1414,350663,33144,358215,46563,-7552,-13419
"2018/2/26",投信,677,1463,104,225,573,1238,5375,4864,40700,77809,-35325,-72945
"2018/2/26",外資及陸資,158327,112425,167571,122338,-9244,-9913,308371,155552,303545,60473,4826,95080
"2018/2/27",自營商,337024,39321,323650,42880,13374,-3559,377093,32491,371306,49371,5787,-16880
"2018/2/27",投信,164,355,94,200,70,155,5459,5027,40714,77614,-35255,-72587
"2018/2/27",外資及陸資,175663,124534,177297,121482,-1634,3052,315081,156963,311889,59118,3192,97845
"2018/3/1",自營商,539499,57800,540743,58356,-1244,-556,326621,32497,325144,49797,1477,-17301
"2018/3/1",投信,47,57,1127,1825,-1080,-1768,5389,4810,41109,78791,-35720,-73981
"2018/3/1",外資及陸資,280763,170911,280351,170077,412,834,318420,156769,314794,58649,3626,98120
"2018/3/2",自營商,311736,57802,322517,58676,-10781,-874,354685,34613,364308,52634,-9623,-18021
"2018/3/2",投信,253,62,809,1725,-556,-1663,5326,4646,41602,79904,-36276,-75258
"2018/3/2",外資及陸資,256435,213365,260376,212681,-3941,684,321102,157487,321471,59261,-369,98227
"2018/3/5",自營商,366899,57330,372486,57583,-5587,-253,380890,35339,396314,53518,-15424,-18179
"2018/3/5",投信,56,119,411,874,-355,-755,5276,4523,41907,80218,-36631,-75694
"2018/3/5",外資及陸資,298614,221021,302153,223669,-3539,-2648,325484,159288,329485,64086,-4001,95202
"2018/3/6",自營商,400722,57236,379257,53238,21465,3998,411987,40847,405934,55483,6053,-14636
"2018/3/6",投信,1027,2214,1896,217,-869,1997,5310,4663,42810,79468,-37500,-74804
"2018/3/6",外資及陸資,243212,176584,240596,168512,2616,8072,330819,167334,332204,62431,-1385,104903
"2018/3/7",自營商,565181,62438,550584,65739,14597,-3301,378530,36430,363696,54219,14834,-17789
"2018/3/7",投信,153,329,337,512,-184,-183,5250,4541,42934,78986,-37684,-74446
"2018/3/7",外資及陸資,270250,174541,276627,178950,-6377,-4409,329091,164693,334021,64939,-4930,99754
"2018/3/8",自營商,280337,41943,258684,39510,21653,2433,427031,39122,390314,54772,36717,-15650
"2018/3/8",投信,815,1695,547,215,268,1480,5280,4657,42696,78455,-37416,-73798
"2018/3/8",外資及陸資,194688,152484,194577,142029,111,10455,339824,176118,344670,64675,-4846,111444
"2018/3/9",自營商,266871,40932,271422,42253,-4551,-1321,432130,38903,399813,55984,32317,-17081
"2018/3/9",投信,1048,2276,70,152,978,2124,5283,4679,41721,76587,-36438,-71908
"2018/3/9",外資及陸資,191695,140043,198148,142403,-6453,-2360,341528,173362,352795,63880,-11267,109481
"2018/3/12",自營商,401666,55359,369726,52963,31940,2396,488030,44958,423722,59948,64308,-14989
"2018/3/12",投信,1596,3516,77,169,1519,3347,5349,4892,40268,74517,-34919,-69625
"2018/3/12",外資及陸資,199076,136944,193586,129907,5490,7037,359202,186990,365020,68710,-5818,118280
"2018/3/13",自營商,386066,47732,376786,44720,9280,3012,507800,49682,434123,61790,73677,-12108
"2018/3/13",投信,1164,1856,378,104,786,1752,5336,4897,39469,73266,-34133,-68369
"2018/3/13",外資及陸資,181679,115102,178505,116203,3174,-1101,365179,187357,367823,69225,-2644,118132
"2018/3/14",自營商,470217,56187,485012,57023,-14795,-836,412482,45684,386158,58408,26324,-12724
"2018/3/14",投信,299,297,540,332,-241,-35,5342,4884,39268,72853,-33926,-67969
"2018/3/14",外資及陸資,236974,137784,258768,144589,-21794,-6805,356334,179012,369600,68535,-13266,110477
"2018/3/15",自營商,220711,43125,217660,45234,3051,-2109,431610,48327,402253,63227,29357,-14900
"2018/3/15",投信,3452,6515,3584,6614,-132,-99,5214,4789,39272,72921,-34058,-68132
"2018/3/15",外資及陸資,187872,145397,190550,143317,-2678,2080,364844,188622,380788,75934,-15944,112688
"2018/3/16",自營商,332448,78785,361362,72919,-28914,5866,430071,49871,430045,58870,26,-8999
"2018/3/16",投信,4925,9473,5495,10172,-570,-699,5066,4691,39694,73361,-34628,-68671
"2018/3/16",外資及陸資,248136,202597,269835,218940,-21699,-16343,356804,177078,394174,81032,-37370,96046
